College Code,College Name,Branch Name,Phase,OC Boys,OC Girls,BC-A Boys,BC-A Girls,BC-B Boys,BC-B Girls,BC-C Boys,BC-C Girls,BC-D Boys,BC-D Girls,BC-E Boys,BC-E Girls,SC Boys,SC Girls,ST Boys,ST Girls,EWS Boys,EWS Girls
"AARM","AAR MAHAVEER ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","Phase 3",29938,29938,129031,148571,79270,79270,29938,80709,66675,88154,102225,102225,149080,149080,73548,177253,53223,57772
"AARM","AAR MAHAVEER ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)","Phase 3",31292,31292,142694,142694,90021,91949,31292,31292,88826,107588,88515,103900,157702,157702,170044,170804,53269,53269
"AARM","AAR MAHAVEER ENGINEERING COLLEGE","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 3",45167,45167,155296,155296,125800,125800,45167,45167,107586,116226,157375,157375,169699,169699,169382,169382,88222,88222
"AARM","AAR MAHAVEER ENGINEERING COLLEGE","ELECTRICAL AND ELECTRONICS ENGINEERING","Phase 3",105276,105276,148809,158116,128544,158461,105276,105276,133151,134360,105276,105276,172354,175214,170070,178525,105276,143247
"AARM","AAR MAHAVEER ENGINEERING COLLEGE","MECHANICAL ENGINEERING","Phase 3",39600,39600,154928,177817,163547,163547,142190,142190,122586,161291,123600,162441,172635,176589,158771,158771,161281,161281
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","CIVIL ENGINEERING","Phase 3",47800,109029,135353,162197,122203,124232,47800,109029,110680,110680,143713,144598,168792,174914,168925,169615,111926,111926
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)","Phase 3",30045,30045,70795,73042,54897,56117,148223,148223,54033,54033,80780,80780,99227,107709,125744,146241,35697,37441
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","COMPUTER SCIENCE AND ENGINEERING","Phase 3",28981,28981,64755,64755,47971,51168,89745,129991,46470,49932,78507,85471,90194,94719,109083,149765,32697,32697
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)","Phase 3",29862,29862,70324,70324,49295,50046,29862,105104,49995,49995,85905,89407,96652,96823,116732,164152,35191,35282
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","COMPUTER SCIENCE AND ENGINEERING (IOT)","Phase 3",37715,37715,87845,97603,72547,80266,37715,37715,63618,63618,142784,142784,124509,128507,147546,147546,42732,42732
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 3",37595,40121,105181,105181,50432,73644,63173,63173,66263,66263,103090,103090,122443,126011,136345,166867,46707,46707
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","ELECTRICAL AND ELECTRONICS ENGINEERING","Phase 3",43862,43862,153376,153376,94936,94936,43862,43862,79127,79127,43862,78959,144076,165084,116972,158921,55066,78980
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","INFORMATION TECHNOLOGY","Phase 3",37222,37222,71638,79780,55885,63528,37222,37222,62075,62075,95661,95661,101198,119507,141312,141312,38768,38768
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","MECHANICAL ENGINEERING","Phase 3",60813,100014,140376,150717,136255,142202,116342,116342,111446,155283,60813,100014,160692,160692,170440,170440,114752,114752
"AITH","ANNAMACHARYA INST OF TECHNOLOGY AND SCI","CIVIL ENGINEERING","Phase 3",154976,154976,164710,164710,174719,179163,154976,154976,158074,158074,154976,154976,173855,180072,179926,179926,154976,154976
"AITH","ANNAMACHARYA INST OF TECHNOLOGY AND SCI","COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)","Phase 3",72698,72698,164522,164522,118884,127303,72698,72698,106360,106360,72698,164083,166104,167564,171441,171441,101433,101433
