College Code,College Name,Branch Name,OC Boys,OC Girls,EWS Boys,EWS Girls,SC Boys,SC Girls,ST Boys,ST Girls,BC-A Boys,BC-A Girls,BC-B Boys,BC-B Girls,BC-C Boys,BC-C Girls,BC-D Boys,BC-D Girls,BC-E Boys,BC-E Girls
"JNTH","JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD HYDERABAD","COMPUTER SCIENCE AND ENGINEERING",937,1038,956,1497,6858,3693,4417,2799,1209,7260,1278,1234,2284,NA,996,1956,1408,11149
"JNTH","JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD HYDERABAD","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",1152,1833,1146,2137,7395,8941,7236,9666,2272,5067,1780,2574,NA,NA,1723,2803,3235,NA
"VJEC","V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH BACHUPALLY","COMPUTER SCIENCE AND ENGINEERING",1771,1510,1410,2001,11480,20566,14939,12238,4351,5589,2326,2410,NA,11047,2581,2313,4389,9535
"CBIT","CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY GANDIPET","COMPUTER SCIENCE AND ENGINEERING",1801,2386,1669,3070,18776,15399,13543,18519,5085,8275,2577,3540,6049,NA,2407,4255,3813,7137
"OUCE","O U COLLEGE OF ENGG HYDERABAD HYDERABAD","COMPUTER SCIENCE AND ENGINEERING",1831,2400,1474,3783,10444,8924,11940,9385,4972,8083,3297,2676,6180,NA,3106,3762,2461,6790
"JNTH","JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD HYDERABAD","COMPUTER SCIENCE AND ENGINEERING CYBER SECURITY",2256,2757,2193,2802,13516,32021,11922,10123,3654,7437,2901,4449,NA,NA,4165,4641,3822,11841
"CBIT","CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY GANDIPET","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",2283,2776,1810,3241,12580,14916,12547,16850,6291,8095,3543,3826,NA,NA,3045,4429,4284,4921
"VASV","VASAVI COLLEGE OF ENGINEERING HYDERABAD","COMPUTER SCIENCE AND ENGINEERING",2302,2781,1958,3534,15723,27223,16835,19823,6475,6862,3652,4294,NA,12354,3448,4179,7206,8424
"VJEC","V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH BACHUPALLY","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",2446,2418,2010,2722,20697,13154,17275,18186,6438,8620,3477,3678,3780,NA,3151,3556,5221,9656
"VASV","VASAVI COLLEGE OF ENGINEERING HYDERABAD","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",2599,2944,2125,3527,22787,20205,20066,20830,6825,9048,3753,4647,17073,NA,3544,4533,7954,10924
"JNTH","JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD HYDERABAD","ELECTRONICS AND COMMUNICATION ENGINEERING",2862,3042,3323,4455,12369,13502,10965,11586,6465,3996,4020,4012,NA,16481,3747,4969,5704,NA
"VJEC","V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH BACHUPALLY","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE",2995,3306,2335,3793,23872,16865,20401,23845,6474,10147,4465,5350,NA,NA,4650,4884,8271,NA
"OUCE","O U COLLEGE OF ENGG HYDERABAD HYDERABAD","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",3039,3658,3072,4530,13541,13815,14139,12781,8328,NA,4672,5149,NA,NA,4729,5680,6556,10440
"CBIT","CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY GANDIPET","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE",3202,3706,2401,4345,27794,21259,15389,20017,9690,10558,4068,5488,10875,NA,4350,5781,6801,11499
"VJEC","V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH BACHUPALLY","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",3256,3261,2344,3702,18457,20180,21186,19594,8076,9049,4110,4528,14380,NA,4254,4353,7714,11022
"CBIT","CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY GANDIPET","CSE IoT AND CYBER SECURITY INCLUDING BLOCK CHAIN TECHNOLOGY",3481,3807,2614,4746,17724,18868,20072,NA,9301,NA,4929,NA,NA,NA,4759,6162,6673,NA
"VJEC","V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH BACHUPALLY","COMPUTER SCIENCE AND ENGINEERING CYBER SECURITY",3507,3864,2535,4081,16085,17194,23739,16549,9399,9831,4920,4965,NA,NA,4696,4872,8355,16404
"VJEC","V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH BACHUPALLY","COMPUTER SCIENCE AND BUSINESS SYSTEM",3829,4590,2845,6330,19190,32112,22281,NA,8059,10192,5997,5763,NA,22068,5415,5074,11842,19828
"GRRR","GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH AUTONOMOUS BACHUPALLY","COMPUTER SCIENCE AND ENGINEERING",4317,5022,3451,6189,31530,36611,23565,24876,13887,14854,6111,7398,20443,15010,6183,7102,15204,15754
"CBIT","CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY GANDIPET","INFORMATION TECHNOLOGY",4510,4709,3728,5737,27339,29359,21574,27420,17770,14890,6219,7167,17002,18953,7090,7525,8313,16141
"OUCE","O U COLLEGE OF ENGG HYDERABAD HYDERABAD","ELECTRONICS AND COMMUNICATION ENGINEERING",4694,5457,4791,8941,17690,16093,13843,13179,11100,7882,7266,6762,NA,NA,6646,5938,6562,14394
"VJEC","V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH BACHUPALLY","INFORMATION TECHNOLOGY",4768,4750,3695,5365,23746,46771,29934,30788,14004,12712,6184,6757,NA,19132,6540,6337,13132,16477
"VJEC","V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH BACHUPALLY","COMPUTER SCIENCE AND ENGINEERING IOT",4821,4957,3525,5743,20288,17735,24598,29139,11977,14737,6297,6943,NA,NA,5983,6378,10389,17777
"GRRR","GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH AUTONOMOUS BACHUPALLY","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",5014,6006,3909,6087,21509,32513,23152,27124,14229,15791,6855,8445,20872,NA,6918,7479,14866,19299
"GRRR","GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH AUTONOMOUS BACHUPALLY","COMPUTER SCIENCE AND BUSINESS SYSTEM",5021,8144,4741,8403,46150,29647,29335,36436,16481,22752,9612,12892,25262,NA,9097,10567,17626,NA
"CBIT","CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY GANDIPET","ELECTRONICS AND COMMUNICATION ENGINEERING",5211,6340,5506,8223,35968,19140,24885,23611,12945,20187,8070,9249,14066,NA,8020,10555,16851,21559
"VASV","VASAVI COLLEGE OF ENGINEERING HYDERABAD","INFORMATION TECHNOLOGY",5679,5794,4284,6864,31659,50591,29170,30922,19597,19690,7434,7581,NA,24894,7984,8361,10732,21215
"KMIT","KESHAV MEMORIAL INST OF TECHNOLOGY AUTONOMOUS NARAYANAGUDA","COMPUTER SCIENCE AND ENGINEERING",5788,6616,4603,7815,35610,62092,35056,37716,16645,19977,8713,8439,22803,21626,8812,9271,14169,21301
"VJEC","V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH BACHUPALLY","ELECTRONICS AND COMMUNICATION ENGINEERING",5922,6592,5338,8077,29320,60780,28010,27692,16369,14265,8169,8208,NA,18295,8824,10548,21475,27193
"GRRR","GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH AUTONOMOUS BACHUPALLY","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",6027,7041,4417,7992,25213,29201,29885,32158,15896,17923,8595,9949,22123,NA,8230,9993,16446,19618
"KMIT","KESHAV MEMORIAL INST OF TECHNOLOGY AUTONOMOUS NARAYANAGUDA","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",6131,7863,5071,7527,31610,88934,35452,46052,17316,21991,9756,11038,17198,20130,9192,10842,16354,16053
"VASV","VASAVI COLLEGE OF ENGINEERING HYDERABAD","ELECTRONICS AND COMMUNICATION ENGINEERING",6455,7855,5677,7941,41294,35857,35726,34120,17869,19883,9255,11049,21477,NA,9867,12523,22239,NA
"MGIT","MAHATMA GANDHI INSTITUTE OF TECHNOLOGY AUTONOMOUS GANDIPET","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",6522,8913,5205,7800,41705,25278,NA,34597,19567,24301,9915,11727,20676,NA,10485,12604,12079,23799
"CBIT","CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY GANDIPET","ELECTRONICS ENGINEERING VLSI DESIGN AND TECHNOLOGY",6724,9022,6316,9889,51872,75365,27777,75471,25247,23192,13234,14514,NA,NA,10185,20971,44419,NA
"GRRR","GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH AUTONOMOUS BACHUPALLY","ELECTRONICS AND COMMUNICATION ENGINEERING",7251,8950,5723,9978,34245,35708,28184,32053,18981,21526,10540,NA,NA,NA,10983,11551,27348,NA
"JNTH","JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD HYDERABAD","ELECTRICAL AND ELECTRONICS ENGINEERING",7446,8412,7771,14617,11948,45476,18310,16600,15322,19018,11169,11928,NA,NA,11662,10198,14272,14641
"MGIT","MAHATMA GANDHI INSTITUTE OF TECHNOLOGY AUTONOMOUS GANDIPET","COMPUTER SCIENCE AND ENGINEERING",7537,8892,6034,10036,32259,61890,34891,29603,23851,21372,11437,12435,16833,NA,10356,12427,16528,21669
"CVRH","CVR COLLEGE OF ENGINEERING IBRAHIMPATAN","COMPUTER SCIENCE AND ENGINEERING",7608,8676,5842,9345,44094,41346,31610,35489,24333,24993,10527,13155,23700,17092,11065,11919,19858,22029
"CVRH","CVR COLLEGE OF ENGINEERING IBRAHIMPATAN","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",7929,7163,5881,9622,43035,68368,38071,39241,24040,22569,11140,13548,22926,35851,11563,12952,17925,22736
"MGIT","MAHATMA GANDHI INSTITUTE OF TECHNOLOGY AUTONOMOUS GANDIPET","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",8089,10014,6052,9060,32749,34063,35511,29449,24153,26973,11797,13510,NA,30341,11451,12661,16272,NA
"CVRH","CVR COLLEGE OF ENGINEERING IBRAHIMPATAN","COMPUTER SCIENCE AND BUSINESS SYSTEM",8281,11922,7917,12593,48107,51110,44585,52753,30521,25450,17397,17151,NA,NA,13707,17106,24264,44359
"OUCE","O U COLLEGE OF ENGG HYDERABAD HYDERABAD","ELECTRICAL AND ELECTRONICS ENGINEERING",8859,9892,9552,14880,76754,18847,19459,19388,17810,17728,13477,14889,NA,NA,14074,17077,17129,NA
"BVRI","B V RAJU INSTITUTE OF TECHNOLOGY NARSAPUR","COMPUTER SCIENCE AND ENGINEERING",9030,10164,7110,8897,65429,135066,44184,50481,26331,28285,13392,15019,35324,34924,13741,14296,26553,33747
"CVRH","CVR COLLEGE OF ENGINEERING IBRAHIMPATAN","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",9318,10464,6741,10747,65344,41924,37793,44104,26252,27469,12169,14101,NA,40008,12858,14569,21757,31066
"CVRH","CVR COLLEGE OF ENGINEERING IBRAHIMPATAN","COMPUTER SCIENCE AND ENGINEERING CYBER SECURITY",9343,11455,7378,12186,43897,86611,42048,49857,25855,32511,15579,16266,35236,NA,13051,15852,24703,31238
"MGIT","MAHATMA GANDHI INSTITUTE OF TECHNOLOGY AUTONOMOUS GANDIPET","ELECTRONICS AND COMMUNICATION ENGINEERING",9606,14835,10252,16589,47332,127372,50907,49875,28604,42024,17809,21448,NA,44299,16280,22913,31686,35972
"VMEG","VARDHAMAN COLLEGE OF ENGINEERING AUTONOMOUS SHAMSHABAD","COMPUTER SCIENCE AND ENGINEERING",9652,11614,8129,12447,56723,63747,39526,44779,32593,30761,15423,17094,33466,24877,15627,15332,26610,33915
"BVRI","B V RAJU INSTITUTE OF TECHNOLOGY NARSAPUR","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",9961,11072,7345,10195,41786,150077,47407,53578,25571,26065,13722,15498,NA,39721,14067,14743,20787,29304
"MGIT","MAHATMA GANDHI INSTITUTE OF TECHNOLOGY AUTONOMOUS GANDIPET","INFORMATION TECHNOLOGY",9974,10528,7976,12572,64320,41452,40514,53494,28152,29992,15106,17664,NA,NA,13557,16524,18420,NA
"MVSR","M V S R ENGINEERING COLLEGE AUTONOMOUS NADERGUL","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",10037,10845,8372,13366,36517,72308,38634,47704,26400,30364,14703,17520,NA,NA,14574,15078,17857,25232
"CVRH","CVR COLLEGE OF ENGINEERING IBRAHIMPATAN","INFORMATION TECHNOLOGY",10137,11608,7004,12217,47736,45771,43909,51665,31617,30108,15084,15583,NA,NA,12880,13725,26248,NA
"BVRI","B V RAJU INSTITUTE OF TECHNOLOGY NARSAPUR","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE",10760,12535,8532,13137,77006,47615,41135,60991,31231,32511,16938,17602,45038,NA,15465,15201,31129,38060
"VMEG","VARDHAMAN COLLEGE OF ENGINEERING AUTONOMOUS SHAMSHABAD","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",10963,11743,8147,12155,40030,96259,42501,44089,20613,24324,16167,16948,30283,NA,14934,15889,24969,NA
"MVSR","M V S R ENGINEERING COLLEGE AUTONOMOUS NADERGUL","COMPUTER SCIENCE AND ENGINEERING",11134,10811,8741,12149,47591,44292,35779,46253,30847,30640,14789,18880,51419,NA,15778,17890,22657,27164
"BVRI","B V RAJU INSTITUTE OF TECHNOLOGY NARSAPUR","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",11215,11657,8074,12619,62651,47580,51788,56785,25716,25546,14683,16558,36857,NA,14606,16514,27772,36374
"MGIT","MAHATMA GANDHI INSTITUTE OF TECHNOLOGY AUTONOMOUS GANDIPET","COMPUTER SCIENCE AND BUSINESS SYSTEM",11323,12006,8495,14302,34829,34378,42062,56955,24160,32175,13881,17637,34906,32757,16024,17952,NA,25062
"JNTH","JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD HYDERABAD","CHEMICAL ENGINEERING",11424,13716,NA,24758,NA,33933,27465,19302,25429,30394,23684,20298,NA,NA,NA,22720,NA,NA
"CVRH","CVR COLLEGE OF ENGINEERING IBRAHIMPATAN","ELECTRONICS AND COMMUNICATION ENGINEERING",11503,13631,8671,13943,73092,60001,38784,40581,28797,28067,15475,18640,53676,NA,14872,20434,37867,42395
"JNTS","JNTUH UNIVERSITY COLLEGE OF ENGINEERING SULTANPUR SULTANPUR","COMPUTER SCIENCE AND ENGINEERING",11673,14853,14013,16538,26124,36639,30749,24726,28494,21900,20032,21450,38463,NA,19822,21155,28260,35743
"JNTH","JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD HYDERABAD","MECHANICAL ENGINEERING",11857,15098,11465,16394,31646,57540,20605,20849,15605,NA,15122,20638,44767,NA,19070,20615,17619,21393
"VASV","VASAVI COLLEGE OF ENGINEERING HYDERABAD","ELECTRICAL AND ELECTRONICS ENGINEERING",12023,15502,12798,19003,44904,25949,37781,35927,47841,43437,21502,28644,NA,NA,18814,24336,NA,71644
"SNIS","SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY GHATKESAR","COMPUTER SCIENCE AND ENGINEERING",12028,8882,9458,14197,66676,75629,44982,43882,31387,28060,18597,18931,43317,34861,16561,16329,28402,32835
"ANUG","ANURAG UNIVERSITY FORMERLY ANURAG GRP OF INSTNS CVSR COLL OF ENGG GHATKESAR","COMPUTER SCIENCE AND ENGINEERING",12092,14298,10871,14071,38162,36855,42841,46079,37563,31207,20037,19761,24473,33257,19037,19004,33699,40253
"MVSR","M V S R ENGINEERING COLLEGE AUTONOMOUS NADERGUL","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",12263,10770,9118,13339,44592,48202,43339,55197,34634,32853,17510,20446,NA,NA,17395,18370,22054,31983
"VMEG","VARDHAMAN COLLEGE OF ENGINEERING AUTONOMOUS SHAMSHABAD","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",12411,10930,9059,12528,61538,134621,41998,52063,35270,30747,17208,18367,NA,52839,17184,18340,23802,32136
"IARE","INSTITUTE OF AERONAUTICAL ENGINEERING DUNDIGAL","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",12539,15523,12261,15006,52151,51847,52656,36020,38418,NA,23512,23862,46809,NA,21831,22321,NA,46742
"BVRI","B V RAJU INSTITUTE OF TECHNOLOGY NARSAPUR","COMPUTER SCIENCE AND BUSINESS SYSTEM",12551,12700,8962,14587,45219,54704,53627,62043,31413,30061,17535,17481,NA,101485,15963,19431,NA,39580
"VJEC","V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH BACHUPALLY","ELECTRICAL AND ELECTRONICS ENGINEERING",12726,15348,11457,20238,60272,36310,38849,45234,35163,22335,19620,19494,27825,NA,16075,18168,23821,46265
"SNIS","SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY GHATKESAR","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",12810,11816,9811,13706,58221,83077,45209,49490,30815,29375,18825,19426,28623,NA,16652,18469,30529,35433
"CBIT","CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY GANDIPET","ELECTRICAL AND ELECTRONICS ENGINEERING",12976,14175,12158,17698,70792,32968,28918,35155,35988,41386,16372,23745,25603,NA,18295,19917,35887,28962
"NGIT","NEIL GOGTE INST OF TECHNOLOGY KACHIVANI SINGARAM","COMPUTER SCIENCE AND ENGINEERING",13403,14554,11183,14526,91057,66966,64045,66599,33515,34346,19823,21723,33805,NA,18899,19344,34147,24358
"MVSR","M V S R ENGINEERING COLLEGE AUTONOMOUS NADERGUL","INFORMATION TECHNOLOGY",13623,14922,12408,16055,104639,148113,56360,69536,41174,42828,21721,23452,81541,96578,23598,19364,35246,26401
"ANUG","ANURAG UNIVERSITY FORMERLY ANURAG GRP OF INSTNS CVSR COLL OF ENGG GHATKESAR","ARTIFICIAL INTELLIGENCE",13720,15545,11522,14392,NA,43577,42484,NA,35286,33621,21682,20832,NA,NA,18573,18853,35595,35275
"OUCE","O U COLLEGE OF ENGG HYDERABAD HYDERABAD","MECHANICAL ENGINEERING",13781,19874,15497,21897,43518,42556,31377,28671,35580,50253,24586,20940,NA,33162,22926,27867,20943,91872
"SNIS","SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY GHATKESAR","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",14040,13828,10020,13833,68448,50122,50052,48851,30886,22203,20272,20226,NA,NA,18945,19012,28821,46895
"VMEG","VARDHAMAN COLLEGE OF ENGINEERING AUTONOMOUS SHAMSHABAD","ELECTRONICS AND COMMUNICATION ENGINEERING",14180,15235,13916,16912,100084,62723,53531,70480,41806,39870,21902,22418,NA,53265,21291,20214,32014,35689
"NGIT","NEIL GOGTE INST OF TECHNOLOGY KACHIVANI SINGARAM","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",14442,15519,11203,16265,66671,125435,75404,84571,33572,35205,22957,19192,NA,30686,20678,19861,34341,31021
"IARE","INSTITUTE OF AERONAUTICAL ENGINEERING DUNDIGAL","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",14461,17152,12159,15707,56218,48731,55644,63222,35803,36010,21437,19455,39687,NA,21681,20466,31626,44219
"VMEG","VARDHAMAN COLLEGE OF ENGINEERING AUTONOMOUS SHAMSHABAD","INFORMATION TECHNOLOGY",14535,13209,10336,13563,92390,62131,51167,71544,36346,35421,20072,18001,47417,NA,18079,19497,28773,42884
"SNIS","SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY GHATKESAR","COMPUTER SCIENCE AND ENGINEERING CYBER SECURITY",14766,13712,10236,14382,46145,51147,49032,56137,31352,32065,17900,21213,NA,NA,19423,17031,29677,NA
"MVSR","M V S R ENGINEERING COLLEGE AUTONOMOUS NADERGUL","COMPUTER SCIENCE AND INFORMATION TECHNOLOGY",14796,12910,10273,16013,49555,53783,49417,56374,38788,33277,19233,21523,NA,NA,17794,19113,33199,NA
"BVRI","B V RAJU INSTITUTE OF TECHNOLOGY NARSAPUR","ELECTRONICS AND COMMUNICATION ENGINEERING",15174,15692,12680,16101,52254,148439,52340,72216,37300,36483,22744,22701,46897,NA,23013,22208,38633,36856
"JNTS","JNTUH UNIVERSITY COLLEGE OF ENGINEERING SULTANPUR SULTANPUR","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",15192,16862,14345,16733,64291,36053,33728,23289,29535,30146,20365,24413,30928,NA,24327,22356,32709,20828
"JNTH","JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD HYDERABAD","CIVIL ENGINEERING",15435,13490,15892,23066,29705,25469,21740,19293,19157,31822,19216,16920,NA,61315,23702,25300,16239,21106
"IARE","INSTITUTE OF AERONAUTICAL ENGINEERING DUNDIGAL","COMPUTER SCIENCE AND ENGINEERING",15505,12141,11792,16367,72757,52433,55692,56497,31526,38861,21517,22150,33795,NA,18811,20352,32360,35778
"CMRK","C M R COLLEGE OF ENGG AND TECHNOLOGY KANDLAKOYA","COMPUTER SCIENCE AND ENGINEERING",15517,17621,14585,17037,77980,63933,62397,64151,45432,41447,24873,22626,45692,100001,22077,25639,34041,36604
"MVSR","M V S R ENGINEERING COLLEGE AUTONOMOUS NADERGUL","CSE IoT AND CYBER SECURITY INCLUDING BLOCK CHAIN TECHNOLOGY",15870,15182,11376,17679,53279,147637,46033,58975,32987,NA,19831,19528,NA,95683,21135,19606,NA,NA
"GRRR","GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH AUTONOMOUS BACHUPALLY","ELECTRICAL AND ELECTRONICS ENGINEERING",15900,15379,13338,18584,43276,36211,40014,48198,39998,NA,20517,30054,NA,NA,22583,24581,NA,NA
"MGIT","MAHATMA GANDHI INSTITUTE OF TECHNOLOGY AUTONOMOUS GANDIPET","ELECTRICAL AND ELECTRONICS ENGINEERING",16023,17925,18591,26737,53906,77351,50833,72185,73743,46525,23633,40676,NA,NA,32893,30071,42177,66639
"OUCE","O U COLLEGE OF ENGG HYDERABAD HYDERABAD","CIVIL ENGINEERING",16061,18125,26856,36625,35844,32841,27427,25943,32095,24306,24555,22085,NA,NA,23917,26412,40833,29307
"GCTC","GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY AUTONOMOUS KEESARA","COMPUTER SCIENCE AND ENGINEERING",16067,15272,13675,17744,76701,160318,65422,69871,40184,36254,23901,23602,41605,89896,24413,23113,40918,57406
"GCTC","GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY AUTONOMOUS KEESARA","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",16106,15572,14208,17214,98357,51005,64322,76069,39624,34328,25700,22760,49043,48458,22759,23854,41872,NA
"CMRK","C M R COLLEGE OF ENGG AND TECHNOLOGY KANDLAKOYA","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",16180,19925,15246,18108,90107,151571,66140,72441,43689,41215,25833,23666,52660,79724,20858,27105,40116,43246
"MVSR","M V S R ENGINEERING COLLEGE AUTONOMOUS NADERGUL","ELECTRONICS AND COMMUNICATION ENGINEERING",16208,18241,15585,20863,73552,79520,59156,67192,58039,44716,27988,25282,66372,127185,21383,25315,41606,48531
"SNIS","SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY GHATKESAR","INFORMATION TECHNOLOGY",16572,16067,12707,19170,84742,64330,57234,65343,39815,34492,23413,23547,NA,NA,22485,18714,43820,46331
"KUWL","KU COLLEGE OF ENGINEERING AND TECHNOLOGY WARANGAL","COMPUTER SCIENCE AND ENGINEERING",16673,NA,26312,30712,41499,42624,35783,31495,32314,29577,24794,26882,NA,NA,24641,23500,42339,48584
"CVRH","CVR COLLEGE OF ENGINEERING IBRAHIMPATAN","ELECTRONICS ENGINEERING VLSI DESIGN AND TECHNOLOGY",16752,16482,11774,16990,64630,119622,45858,114850,34942,NA,20956,31369,NA,NA,23143,27809,67668,NA
"VJEC","V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH BACHUPALLY","MECHANICAL ENGINEERING",17302,28064,22165,41877,87192,98171,67663,105050,67794,65877,37350,40558,68570,NA,30921,45860,51186,125326
"SNIS","SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY GHATKESAR","ELECTRONICS AND COMMUNICATION ENGINEERING",17322,18693,17577,21483,92016,75577,60289,69994,50356,43870,28725,32014,70144,NA,23240,28311,58828,75411
"IARE","INSTITUTE OF AERONAUTICAL ENGINEERING DUNDIGAL","INFORMATION TECHNOLOGY",17412,17516,14850,18994,129172,68619,64964,76595,44618,39813,25610,25002,65763,120359,25975,24522,37572,54273
"GCTC","GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY AUTONOMOUS KEESARA","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",17716,20124,14945,17371,101929,63699,70960,75155,40700,41185,26810,25226,66135,NA,27905,26430,48302,58618
"VJEC","V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH BACHUPALLY","ELECTRONICS AND INSTRUMENTATION ENGINEERING",17794,14986,17335,22905,75289,56024,68990,100797,54044,54210,24826,28516,34818,NA,28439,26338,51361,92686
"JNKR","JNTUH UNIVERSITY COLLEGE OF ENGINEERING JAGITIAL AUTONOMOUS JAGITIAL","COMPUTER SCIENCE AND ENGINEERING",17932,15703,19845,21949,34236,148704,44211,43897,33898,21913,24697,22170,NA,NA,22362,19618,24724,34374
"CMRK","C M R COLLEGE OF ENGG AND TECHNOLOGY KANDLAKOYA","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",18065,17331,15472,18537,68225,62287,65562,74111,41280,38271,26878,24141,66705,NA,23966,27480,38658,46519
"JNTS","JNTUH UNIVERSITY COLLEGE OF ENGINEERING SULTANPUR SULTANPUR","COMPUTER SCIENCE AND ENGINEERING CYBER SECURITY",18171,16335,18593,21721,68341,45309,41779,37436,40191,39124,24640,25728,NA,NA,26457,29215,66286,NA
"VJIT","VIDYAJYOTHI INSTITUTE OF TECHNOLOGY AUTONOMOUS MOINABAD","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",18233,18651,17300,18775,54149,63225,68253,59748,39652,44486,29516,28541,45581,NA,25395,29826,32502,38360
"IARE","INSTITUTE OF AERONAUTICAL ENGINEERING DUNDIGAL","ELECTRONICS AND COMMUNICATION ENGINEERING",18346,15639,17592,19801,76306,70836,66234,101445,46491,44161,30435,32638,NA,61284,25037,29516,45736,63438
