College Code,College Name,Branch Name,OC Boys,OC Girls,EWS Boys,EWS Girls,SC Boys,SC Girls,ST Boys,ST Girls,BC-A Boys,BC-A Girls,BC-B Boys,BC-B Girls,BC-C Boys,BC-C Girls,BC-D Boys,BC-D Girls,BC-E Boys,BC-E Girls
"JPNE","JAYA PRAKASH NARAYAN COLLEGE OF ENGINEERING AUTONOMOUS MAHABUBNAGAR","MECHANICAL ENGINEERING",122691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152966,NA
"JNPASF","JNAFAU SCHOOL OF PLANNING AND ARCH SELF FINANCE MASABTANK","BUILDING SERVICES ENGG",123639,140023,NA,NA,157923,151818,165174,NA,146822,NA,NA,NA,NA,NA,153393,NA,NA,NA
"VJYA","VIJAYA ENGINEERING COLLEGE KHAMMAM","ELECTRONICS AND COMMUNICATION ENGINEERING",124422,112388,NA,NA,NA,NA,144192,NA,NA,160808,166213,NA,NA,NA,NA,NA,NA,NA
"AKIT","ABDULKALAM INST OF TECHNOLOGY AND SCI KOTHAGUDEM","MECHANICAL ENGINEERING",124861,NA,NA,NA,152355,149843,150623,156539,164809,NA,168017,NA,NA,NA,165277,NA,NA,NA
"MTEC","MOTHER THERESA COLLEGE OF ENGG AND TECHNOLOGY PEDDAPALLY","COMPUTER SCIENCE AND INFORMATION TECHNOLOGY",125246,112833,NA,NA,156248,NA,NA,NA,145128,NA,NA,161858,NA,NA,NA,163744,NA,NA
"VITS","SRI VISHWESWARAYA INST OF TECHNOLOGY AND SCI MAHABUBNAGAR","ELECTRICAL AND ELECTRONICS ENGINEERING",126541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAYA","JAYAMUKHI INSTITUTE OF TECHNOLOGY AND SCIS AUTONOMOUS NARSAMPET","COMPUTER SCIENCE AND INFORMATION TECHNOLOGY",126710,98237,NA,NA,NA,NA,NA,NA,158385,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NGMA","NIGAMA ENGINEERING COLLEGE KARIMNAGAR","COMPUTER SCIENCE AND ENGINEERING",126850,92628,NA,NA,156687,155779,158971,NA,164120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTEC","MOTHER THERESA COLLEGE OF ENGG AND TECHNOLOGY PEDDAPALLY","ELECTRICAL AND ELECTRONICS ENGINEERING",128006,80619,NA,NA,156186,162103,162962,NA,NA,160818,NA,NA,NA,NA,NA,NA,NA,165169
"JNTR","JNTUH UNIVERSITY COLLEGE OF ENGINEERING RAJANNA SIRCILLA AGRAHARAM RAJANNA SIRCILLA","MECHANICAL ENGINEERING",128779,NA,NA,NA,155996,NA,164550,NA,NA,NA,141579,NA,NA,NA,NA,NA,NA,NA
