College Code,College Name,Branch Name,Phase,OC Boys,OC Girls,BC-A Boys,BC-A Girls,BC-B Boys,BC-B Girls,BC-C Boys,BC-C Girls,BC-D Boys,BC-D Girls,BC-E Boys,BC-E Girls,SC Boys,SC Girls,ST Boys,ST Girls,EWS Boys,EWS Girls
"ARJN","ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE","COMPUTER SCIENCE AND ENGINEERING","Phase 1",34026,34026,121248,131789,95139,95139,34026,34026,81914,81914,83719,128221,142787,142787,166319,166319,86284,86284
"ARJN","ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)","Phase 1",52129,52129,146517,146517,107990,113824,52129,52129,96863,103980,153779,153779,165524,165779,170893,170893,91182,93334
"ARJN","ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 1",67763,67763,162906,162906,126843,126843,67763,109303,112006,112006,127246,127246,169147,170740,169224,173070,130301,130301
"ASRA","AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY","CIVIL ENGINEERING","Phase 1",155931,155931,171278,171278,155931,155931,155931,155931,180357,180357,155931,155931,155931,155931,177696,177696,155931,155931
"ASRA","AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY","COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)","Phase 1",70103,71178,149345,161748,102440,109707,70103,71178,105581,107183,164537,164537,168880,169739,174123,174560,101585,112157
"ASRA","AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY","COMPUTER SCIENCE AND ENGINEERING","Phase 1",54371,54371,97208,112003,86278,86808,77385,77385,76573,79281,102225,102225,165254,165254,131070,179998,75607,81859
"ASRA","AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)","Phase 1",68009,68794,92072,129235,102120,107335,68009,68794,92136,98795,103455,103455,166895,168938,173729,173729,90223,90223
"ASRA","AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 1",83028,102424,123155,125459,109241,122373,83028,102424,112700,112700,121764,121764,170771,172637,174242,175395,104241,118492
"ASRA","AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY","ELECTRICAL AND ELECTRONICS ENGINEERING","Phase 1",102519,105807,156061,156061,162711,162711,102519,147206,134631,134631,155653,155653,175050,178919,177197,177197,158898,158898
"ASRA","AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY","MECHANICAL ENGINEERING","Phase 1",108829,154015,108829,154015,108829,154015,108829,154015,108829,154015,108829,154015,108829,154015,108829,154015,108829,154015
"AURG","AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING","Phase 1",44723,44723,98146,98146,57159,69805,44723,62509,68890,68890,111073,111073,136371,153714,115783,164087,50620,64762
"AURG","AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE","COMPUTER SCIENCE AND ENGINEERING","Phase 1",40764,40764,79693,79693,66895,71810,134947,134947,54464,54492,84536,89407,120412,120412,114363,164999,57238,57238
"AURG","AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 1",47467,57470,113383,113383,66952,87997,47467,57470,68827,80833,112957,158925,145175,145175,111206,154269,64074,64074
"AURG","AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE","MECHANICAL ENGINEERING","Phase 1",99563,99563,142022,149484,132123,146922,99563,139301,126281,127925,164449,164449,171582,174701,176574,178478,120368,145045
"AVIH","AVANTHI INST OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY)","Phase 1",73256,73256,146274,146274,101504,101504,73256,73256,96310,98145,154692,154692,164877,167168,175754,175754,92683,92683
"AVIH","AVANTHI INST OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)","Phase 1",71519,71519,136886,163811,107055,107055,96698,96698,95688,95688,145423,145423,167818,169717,171982,175008,93767,93767
"AVIH","AVANTHI INST OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","Phase 1",61334,61411,134064,152703,90873,90873,77491,77491,91732,92182,108931,123168,164954,166102,167548,174116,83606,88258
"AVIH","AVANTHI INST OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)","Phase 1",64868,66311,115523,164571,101202,101202,64868,66311,87606,94833,64868,128076,167635,167741,172786,172786,79522,92237
"AVIH","AVANTHI INST OF ENGG AND TECHNOLOGY","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 1",80097,80097,148383,162578,117909,117909,80097,80097,106637,106637,120154,120154,171265,173304,176511,177822,118954,118954
"AVIH","AVANTHI INST OF ENGG AND TECHNOLOGY","ELECTRICAL AND ELECTRONICS ENGINEERING","Phase 1",132179,132179,146904,164563,161883,163706,132179,132179,132179,132179,132179,132179,173502,173709,177904,177904,141171,141171
"AVIH","AVANTHI INST OF ENGG AND TECHNOLOGY","MECHANICAL ENGINEERING","Phase 1",80198,80198,80198,80198,80198,80198,80198,80198,80198,136798,122244,122244,178104,178104,179442,179442,80198,80198
"AVNI","AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS)","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE","Phase 1",41468,68411,119210,119210,87273,89204,41468,76293,79572,79572,129721,129721,165872,169099,167249,175608,77169,77169
"AVNI","AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS)","CIVIL ENGINEERING","Phase 1",60739,97052,148809,148809,146073,160144,135626,135626,132416,132416,60739,163366,121184,175206,136544,157350,60739,153621
"AVNI","AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS)","COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY)","Phase 1",66723,66723,132948,134209,89103,89103,66723,66723,81153,83411,81894,81894,161680,165490,151787,174049,76239,80219
"AVNI","AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS)","COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)","Phase 1",67318,68107,122461,122461,78292,84025,67318,83464,77673,82030,67318,137413,158602,165072,153415,166014,76281,76281
"AVNI","AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS)","COMPUTER SCIENCE AND ENGINEERING","Phase 1",52454,52454,96442,99626,73078,73078,66733,70435,66116,70295,110012,112227,109261,149973,131615,134197,65264,65264
"AVNI","AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS)","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)","Phase 1",61566,61570,104733,115719,76902,77105,76195,76195,75208,81369,116460,116460,143011,163842,164290,166919,73399,74835
"AVNI","AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS)","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 1",71367,71367,145831,155839,99816,101071,71367,71367,93526,93526,101363,101363,167556,169640,170302,178531,94402,98432
"AVNI","AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS)","MECHANICAL ENGINEERING","Phase 1",51968,51968,51968,107594,141681,163018,162329,162329,161522,164198,161589,161589,173716,175404,171169,171698,51968,51968
"BIET","BHARAT INSTITUTE OF ENGG AND TECHNOLOGY","CIVIL ENGINEERING","Phase 1",81020,81020,163490,163490,161000,162005,81020,81020,112439,131745,149879,149879,142030,172656,149700,172723,164647,164647
"BIET","BHARAT INSTITUTE OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY)","Phase 1",67138,67138,114228,114228,100886,102247,67138,67138,85216,98035,117420,152940,167157,167157,172980,174983,81211,81211
"BIET","BHARAT INSTITUTE OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)","Phase 1",63016,63016,129318,146956,98909,98909,63016,85982,90030,90030,154819,163593,168140,169837,172887,172887,73488,73488
"BIET","BHARAT INSTITUTE OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","Phase 1",53311,56751,119255,119255,76743,76743,142415,142415,76636,76636,126710,153477,151333,157009,149157,174459,65687,68091
"BIET","BHARAT INSTITUTE OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)","Phase 1",66252,68146,138580,145650,98152,101711,66252,77781,92260,99955,152616,157685,169160,169535,166851,175963,79117,79117
"BIET","BHARAT INSTITUTE OF ENGG AND TECHNOLOGY","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 1",78815,78815,164768,164768,112380,112380,105270,105270,104515,110413,156843,156843,171032,174908,172937,174325,99774,99774
"BIET","BHARAT INSTITUTE OF ENGG AND TECHNOLOGY","ELECTRICAL AND ELECTRONICS ENGINEERING","Phase 1",89122,89122,145274,145274,117186,126530,89122,89122,123934,138528,124225,124225,149477,176413,143781,149211,89122,157107
"BIET","BHARAT INSTITUTE OF ENGG AND TECHNOLOGY","INFORMATION TECHNOLOGY","Phase 1",72840,72840,145600,159154,108353,108590,72840,72840,99071,101231,164073,164073,170717,174692,177827,178526,89320,89320
"BIET","BHARAT INSTITUTE OF ENGG AND TECHNOLOGY","MECHANICAL ENGINEERING","Phase 1",109217,109217,140296,140296,180125,180125,109217,109217,153659,153659,109217,140153,180348,180348,172391,172391,109217,109217
"BITN","BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS)","CIVIL ENGINEERING","Phase 1",105757,105757,148783,159917,157384,162111,105757,161553,144096,147828,148984,148984,179575,179575,163638,163638,105757,105757
"BITN","BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS)","COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)","Phase 1",86362,86362,162560,162560,121564,123798,86362,86362,111834,111834,163917,163917,173956,178202,179574,179574,154325,154325
"BITN","BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS)","COMPUTER SCIENCE AND ENGINEERING","Phase 1",72584,72584,140282,158720,96595,96595,79344,79344,103022,103022,123036,132437,161979,169132,172120,176937,128195,128195
"BITN","BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS)","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)","Phase 1",80554,83007,151207,151992,118023,118023,106646,106646,105829,105829,138738,139640,168722,176421,179461,180325,150299,160554
"BITN","BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS)","COMPUTER ENGINEERING(SOFTWARE ENGINEERING)","Phase 1",96808,96808,148238,148238,143315,143315,126312,126312,124288,125044,150060,150060,178933,178933,180077,180086,145902,145902
"BITN","BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS)","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 1",89289,89289,161359,161359,143219,143219,89289,125191,117226,124455,147726,147726,179334,179334,178029,179991,154798,162202
"BITN","BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS)","ELECTRICAL AND ELECTRONICS ENGINEERING","Phase 1",98101,98101,163193,163193,153445,155119,98101,98101,123787,128607,125468,125468,176881,180148,145171,174718,98101,98101
"BITN","BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS)","MECHANICAL ENGINEERING","Phase 1",123217,123217,123217,123217,161794,161794,123217,123217,153568,153568,143487,143487,123217,123217,123217,177267,123217,123217
"BOMA","BOMMA INST OF TECHNOLOGY AND SCI","CIVIL ENGINEERING","Phase 1",140994,140994,140994,140994,140994,140994,140994,140994,140994,140994,140994,140994,173542,178061,179154,179154,140994,140994
"BOMA","BOMMA INST OF TECHNOLOGY AND SCI","COMPUTER SCIENCE AND ENGINEERING","Phase 1",65403,104076,164436,164436,163369,163369,65403,124894,138312,161705,146124,160433,172840,172840,176537,176537,148566,148566
"BOMA","BOMMA INST OF TECHNOLOGY AND SCI","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)","Phase 1",70944,106399,70944,179287,116536,116536,70944,106399,146325,146325,116072,116072,180032,180032,155875,155875,70944,106399
"BOMA","BOMMA INST OF TECHNOLOGY AND SCI","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 1",96973,142723,96973,162811,147050,147050,96973,142723,163059,163059,96973,142723,176643,176643,96973,142723,96973,142723
"BOMA","BOMMA INST OF TECHNOLOGY AND SCI","ELECTRICAL AND ELECTRONICS ENGINEERING","Phase 1",97915,179075,97915,179075,97915,179075,97915,179075,97915,179075,170285,179075,97915,179075,177305,179075,97915,179075
"BOSE","ANU BOSE INSTT OF TECHNOLOGY","CIVIL ENGINEERING","Phase 1",,109682,,165606,,167261,,109682,,168726,,169466,,169221,,157289,,109682
"BOSE","ANU BOSE INSTT OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)","Phase 1",,121551,,157114,,169722,,121551,,146981,,169914,,156076,,171277,,121551
"BOSE","ANU BOSE INSTT OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","Phase 1",,84042,,117986,,123526,,113554,,112014,,134970,,127330,,138728,,124420
"BOSE","ANU BOSE INSTT OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)","Phase 1",,107082,,147994,,158519,,107082,,161098,,161355,,170273,,166714,,136663
"BOSE","ANU BOSE INSTT OF TECHNOLOGY","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 1",,87386,,138933,,126287,,135225,,120022,,159531,,142914,,131052,,150377
"BOSE","ANU BOSE INSTT OF TECHNOLOGY","ELECTRICAL AND ELECTRONICS ENGINEERING","Phase 1",,113218,,160349,,164252,,113218,,141815,,151234,,165986,,155702,,113218
"BREW","BHOJREDDY ENGINEERING COLLEGE FOR WOMEN","COMPUTER SCIENCE AND ENGINEERING","Phase 1",,15151,,34706,,21747,,52800,,21372,,32579,,44092,,69160,,16386
"BREW","BHOJREDDY ENGINEERING COLLEGE FOR WOMEN","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)","Phase 1",,16158,,29913,,24462,,70138,,22234,,19301,,62931,,76000,,17407
"BREW","BHOJREDDY ENGINEERING COLLEGE FOR WOMEN","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 1",,28055,,63054,,36991,,28055,,36828,,81679,,104790,,136951,,30417
"BREW","BHOJREDDY ENGINEERING COLLEGE FOR WOMEN","ELECTRICAL AND ELECTRONICS ENGINEERING","Phase 1",,47338,,103818,,74167,,88188,,86453,,84693,,166787,,166736,,75871
"BREW","BHOJREDDY ENGINEERING COLLEGE FOR WOMEN","INFORMATION TECHNOLOGY","Phase 1",,21801,,51057,,30763,,21801,,24874,,57108,,84043,,119156,,24881
"BRIG","BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE","Phase 1",80878,90454,147512,147512,110408,120092,80878,90454,104926,104926,147363,162200,169369,170423,172648,177094,112742,119183
"BRIG","BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS","CIVIL ENGINEERING","Phase 1",74965,74965,136953,156255,162851,162851,74965,74965,159580,164341,173863,173863,173158,176833,180258,180258,74965,74965
"BRIG","BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS","COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)","Phase 1",77627,77627,162330,163765,117108,117336,77627,77627,103074,106569,88504,149603,169482,169981,171842,175161,111090,111090
"BRIG","BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS","COMPUTER SCIENCE AND ENGINEERING","Phase 1",74951,75103,139964,148571,105380,107297,95897,95897,95845,95845,141551,147228,166891,166891,168861,177431,100431,105098
"BRIG","BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)","Phase 1",63122,90850,154481,154481,110619,110619,63122,98913,99472,99472,115923,115923,168874,169795,171332,175513,101354,112077
"BRIG","BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 1",82547,82852,155296,155296,113462,117434,82547,82852,119294,119294,157682,157682,168206,170129,173639,173883,116724,116724
"BRIG","BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS","ELECTRICAL AND ELECTRONICS ENGINEERING","Phase 1",116171,116171,138587,138587,116171,140140,116171,116171,145290,150817,139328,139328,172536,173857,179632,179632,151194,151194
"BRIG","BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS","MECHANICAL ENGINEERING","Phase 1",146598,146598,157863,157863,146598,146598,146598,146598,162546,175687,146598,146598,177925,177925,146598,146598,146598,146598
"BRIL","BRILLIANT INSTT OF ENGG AND TECHNOLOGY","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE","Phase 1",105447,105447,158529,163862,120175,123193,105447,105447,107633,107633,159838,160606,169394,169394,177251,177749,112984,114008
"BRIL","BRILLIANT INSTT OF ENGG AND TECHNOLOGY","CIVIL ENGINEERING","Phase 1",113929,118588,162737,162737,158308,163443,113929,153584,159153,159153,164014,164014,177487,177906,179863,179863,113929,118588
"BRIL","BRILLIANT INSTT OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY)","Phase 1",89577,101059,164494,164494,115674,120255,89577,101059,105092,112522,115225,115225,167576,168334,175786,178410,110161,115120
"BRIL","BRILLIANT INSTT OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)","Phase 1",89402,96916,159355,159355,108992,111991,105703,105703,104112,109674,154625,156458,167649,167649,171930,177884,111251,111251
"BRIL","BRILLIANT INSTT OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","Phase 1",69783,78492,149346,149346,106155,106155,119644,119644,94121,94121,137509,137509,166427,166427,166756,174829,101374,105498
"BRIL","BRILLIANT INSTT OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)","Phase 1",75650,75650,154709,159165,103087,110641,75650,75650,96876,96876,152288,154360,165203,167733,171126,177815,103474,107551
"BRIL","BRILLIANT INSTT OF ENGG AND TECHNOLOGY","COMPUTER ENGINEERING(SOFTWARE ENGINEERING)","Phase 1",103918,103918,148274,148274,127001,128865,103918,124896,123887,124187,163453,163453,170559,170991,177361,177361,128292,135284
"BRIL","BRILLIANT INSTT OF ENGG AND TECHNOLOGY","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 1",80887,80887,164640,164640,105609,107482,115140,115140,112864,117975,111791,111791,165171,169426,172106,172365,118472,118472
