College Code,College Name,Branch Name,Phase,OC Boys,OC Girls,BC-A Boys,BC-A Girls,BC-B Boys,BC-B Girls,BC-C Boys,BC-C Girls,BC-D Boys,BC-D Girls,BC-E Boys,BC-E Girls,SC Boys,SC Girls,ST Boys,ST Girls,EWS Boys,EWS Girls
"AARM","AAR MAHAVEER ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","Phase 1",26588,29938,52666,62471,38568,38568,26588,108434,38368,38368,53852,53852,70513,75671,70477,83930,30771,38034
"AARM","AAR MAHAVEER ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)","Phase 1",37420,37420,72671,72671,49319,52239,37420,37420,52828,73705,70732,74189,94651,94651,100577,168832,47357,47357
"AARM","AAR MAHAVEER ENGINEERING COLLEGE","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 1",54242,54242,101521,101521,76946,85866,54242,54242,75251,82142,134835,134835,125763,125763,119658,174032,82588,82588
"AARM","AAR MAHAVEER ENGINEERING COLLEGE","ELECTRICAL AND ELECTRONICS ENGINEERING","Phase 1",70937,70937,146480,146480,109373,109373,70937,70937,108683,108683,70937,70937,162464,171633,131469,172264,97335,101749
"AARM","AAR MAHAVEER ENGINEERING COLLEGE","MECHANICAL ENGINEERING","Phase 1",78553,117306,78553,117306,124311,124311,130268,130268,114574,135572,104771,145196,152472,156911,127265,127265,143809,143809
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","CIVIL ENGINEERING","Phase 1",80955,83508,135353,145202,116671,116671,80955,83508,100006,100006,157796,157796,165028,176884,165208,173472,97967,97967
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)","Phase 1",31984,31984,70795,70795,45278,45278,89745,108152,41539,41539,80780,80780,99227,107709,125744,146241,35134,35134
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","COMPUTER SCIENCE AND ENGINEERING","Phase 1",23711,23711,57406,57406,35719,35719,87671,87671,34098,34098,64109,74019,77511,77511,88227,116375,27936,27936
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)","Phase 1",27860,27860,61373,61373,40349,40349,27860,99424,39077,39077,67133,67133,90130,90130,112785,133887,30484,30484
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","COMPUTER SCIENCE AND ENGINEERING (IOT)","Phase 1",37808,37808,87845,94451,50143,56117,37808,37808,49866,49866,42888,123270,120531,120531,147546,176719,42732,42732
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 1",37595,38188,87611,87611,50125,53544,63173,63173,51332,51332,78827,88921,122782,122782,136345,137284,46707,46707
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","ELECTRICAL AND ELECTRONICS ENGINEERING","Phase 1",51674,51674,124179,124179,81055,95338,51674,51674,80175,80175,51674,122626,144440,165084,138382,158921,79242,80152
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","INFORMATION TECHNOLOGY","Phase 1",34980,34980,71250,79780,42211,50783,34980,34980,45326,45326,95661,95661,101981,117066,132870,132870,35697,35697
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","MECHANICAL ENGINEERING","Phase 1",60813,100014,105181,124523,110770,132466,104832,104832,91013,155283,60813,100014,157564,157564,165440,166439,91325,157762
"AITH","ANNAMACHARYA INST OF TECHNOLOGY AND SCI","CIVIL ENGINEERING","Phase 1",136818,136818,172484,172484,178345,178345,136818,136818,153086,153086,136818,136818,171415,171415,179610,179610,136818,136818
"AITH","ANNAMACHARYA INST OF TECHNOLOGY AND SCI","COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)","Phase 1",62749,64811,121443,148629,97552,97552,62749,64811,85201,87707,62749,133139,160176,160176,169231,173424,82392,82392
"AITH","ANNAMACHARYA INST OF TECHNOLOGY AND SCI","COMPUTER SCIENCE AND ENGINEERING","Phase 1",57210,57210,116426,116426,84674,84674,127233,127233,74175,74175,86020,86020,138423,138423,161246,161246,70034,85774
"AITH","ANNAMACHARYA INST OF TECHNOLOGY AND SCI","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)","Phase 1",63258,63258,113661,113661,95054,95054,63258,63258,80961,93339,97211,123586,151602,160002,165197,167739,76185,76185
"AITH","ANNAMACHARYA INST OF TECHNOLOGY AND SCI","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 1",44493,76314,140598,158381,106417,106417,44493,76314,101393,104757,144559,144559,165042,165042,165116,178024,90413,106426
"AITH","ANNAMACHARYA INST OF TECHNOLOGY AND SCI","ELECTRICAL AND ELECTRONICS ENGINEERING","Phase 1",48969,48969,159903,159903,132444,132444,48969,48969,48969,161169,48969,48969,170963,177116,176611,176611,154165,154165
"AITH","ANNAMACHARYA INST OF TECHNOLOGY AND SCI","MECHANICAL ENGINEERING","Phase 1",121375,139847,152358,152358,121375,156948,121375,139847,150603,150603,121375,139847,179446,179446,121375,139847,121375,139847
"AKIT","ABDULKALAM INST OF TECHNOLOGY AND SCI","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING","Phase 1",89631,89631,137621,156794,118936,118936,89631,89631,135503,135503,121308,121308,179823,179823,165936,165936,150149,150149
"AKIT","ABDULKALAM INST OF TECHNOLOGY AND SCI","CIVIL ENGINEERING","Phase 1",118114,118114,172020,172020,162113,162113,171142,171142,171803,171803,129054,163218,177528,177528,170880,170880,118114,118114
"AKIT","ABDULKALAM INST OF TECHNOLOGY AND SCI","COMPUTER SCIENCE AND ENGINEERING","Phase 1",64288,71240,126114,126114,97740,97740,64288,71240,101423,101423,95655,95655,172100,172100,166888,166888,127048,127048
"AKIT","ABDULKALAM INST OF TECHNOLOGY AND SCI","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 1",84678,88172,109309,109309,151297,151297,84678,88172,112128,112128,109794,109794,176754,176754,134566,134566,92450,107459
"AKIT","ABDULKALAM INST OF TECHNOLOGY AND SCI","ELECTRICAL AND ELECTRONICS ENGINEERING","Phase 1",106045,106045,167652,167652,168703,168703,106045,106045,123235,151325,149281,149281,173803,175941,167571,167571,106045,106045
"AKIT","ABDULKALAM INST OF TECHNOLOGY AND SCI","MECHANICAL ENGINEERING","Phase 1",116385,116385,145359,173731,172537,172537,116385,116385,169442,174471,172178,172178,168968,174129,129946,172938,116385,116385
"AKIT","ABDULKALAM INST OF TECHNOLOGY AND SCI","MINING ENGINEERING","Phase 1",100180,100180,162544,176900,167810,167810,100180,178396,152383,152383,100180,100180,169397,176501,166801,176344,100180,100180
"ANRK","ANURAG ENGINEERING COLLEGE AUTONOMOUS","CIVIL ENGINEERING","Phase 1",91086,91086,119962,119962,177072,177072,91086,91086,133494,133494,91086,91086,179391,179391,176214,176214,159195,159195
"ANRK","ANURAG ENGINEERING COLLEGE AUTONOMOUS","COMPUTER SCIENCE AND ENGINEERING","Phase 1",40020,40020,88036,88036,65066,65066,61372,61372,61151,61151,43933,43933,105450,105450,163850,163850,59179,59179
"ANRK","ANURAG ENGINEERING COLLEGE AUTONOMOUS","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)","Phase 1",49175,49175,120603,120603,75828,87610,49175,65173,73976,73976,80260,84685,131335,131335,169929,172910,71829,71829
"ANRK","ANURAG ENGINEERING COLLEGE AUTONOMOUS","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 1",74070,74070,150671,159679,118078,118078,74070,74070,100969,101667,133482,146632,167676,170059,173382,175542,102362,115755
"ANRK","ANURAG ENGINEERING COLLEGE AUTONOMOUS","ELECTRICAL AND ELECTRONICS ENGINEERING","Phase 1",98495,98495,128988,128988,131681,131681,98495,98495,119666,119666,98495,134685,172706,173717,173121,177019,132027,132027
"ANRK","ANURAG ENGINEERING COLLEGE AUTONOMOUS","INFORMATION TECHNOLOGY","Phase 1",64938,64938,126872,158361,112702,128462,64938,64938,73179,95195,145622,145622,168016,168016,178542,179911,74060,74060
